NO SYNCHRONIZATION:
Thread-42: 39
Thread-46: 77
Thread-98: 30
Thread-95: 59
Thread-17: 23
Thread-85: 36
Thread-93: 54
Thread-28: 23
Thread-90: 38
Thread-79: 36
Thread-29: 23
Thread-45: 58
Thread-62: 67
Thread-34: 23
Thread-73: 33
Thread-80: 55
Thread-72: 32
Thread-87: 43
Thread-78: 34
Thread-59: 83
Thread-13: 23
Thread-43: 38
Thread-99: 28
Thread-96: 31
Thread-94: 60
Thread-14: 23
Thread-21: 23
Thread-81: 57
Thread-10: 23
Thread-40: 24
Thread-74: 53
Thread-92: 61
Thread-77: 73
Thread-69: 70
Thread-16: 23
Thread-48: 41
Thread-33: 23
Thread-44: 62
Thread-12: 23
Thread-50: 63
Thread-23: 23
Thread-54: 46
Thread-51: 65
Thread-70: 86
Thread-56: 66
Thread-88: 76
Thread-9: 23
Thread-57: 68
Thread-75: 56
Thread-38: 26
Thread-1: 23
Thread-30: 23
Thread-7: 23
Thread-8: 23
Thread-32: 23
Thread-83: 75
Thread-84: 40
Thread-27: 23
Thread-2: 23
Thread-58: 82
Thread-82: 74
Thread-0: 23
Thread-5: 23
Thread-25: 23
Thread-86: 42
Thread-41: 78
Thread-52: 79
Thread-11: 23
Thread-49: 44
Thread-36: 23
Thread-3: 23
Thread-64: 85
Thread-31: 23
Thread-68: 71
Thread-22: 23
Thread-53: 81
Thread-26: 23
Thread-89: 45
Thread-47: 80
Thread-63: 70
Thread-60: 48
Thread-4: 23
Thread-37: 25
Thread-39: 27
Thread-55: 49
Thread-65: 84
Thread-18: 23
Thread-35: 23
Thread-20: 23
Thread-66: 52
Thread-19: 23
Thread-67: 51
Thread-76: 72
Thread-71: 64
Thread-24: 23
Thread-97: 29
Thread-91: 47
Thread-6: 23
Thread-15: 23
Thread-61: 50

METHOD SYNCHRONIZATION:
Thread-0: 1
Thread-98: 2
Thread-99: 3
Thread-97: 4
Thread-96: 5
Thread-95: 6
Thread-94: 7
Thread-93: 8
Thread-92: 9
Thread-91: 10
Thread-90: 11
Thread-89: 12
Thread-88: 13
Thread-87: 14
Thread-86: 15
Thread-85: 16
Thread-84: 17
Thread-83: 18
Thread-82: 19
Thread-81: 20
Thread-80: 21
Thread-79: 22
Thread-78: 23
Thread-77: 24
Thread-76: 25
Thread-75: 26
Thread-74: 27
Thread-73: 28
Thread-72: 29
Thread-71: 30
Thread-70: 31
Thread-69: 32
Thread-68: 33
Thread-67: 34
Thread-66: 35
Thread-65: 36
Thread-64: 37
Thread-63: 38
Thread-62: 39
Thread-61: 40
Thread-60: 41
Thread-59: 42
Thread-58: 43
Thread-57: 44
Thread-56: 45
Thread-55: 46
Thread-54: 47
Thread-53: 48
Thread-52: 49
Thread-51: 50
Thread-50: 51
Thread-49: 52
Thread-48: 53
Thread-47: 54
Thread-46: 55
Thread-45: 56
Thread-44: 57
Thread-43: 58
Thread-42: 59
Thread-41: 60
Thread-40: 61
Thread-39: 62
Thread-38: 63
Thread-37: 64
Thread-36: 65
Thread-35: 66
Thread-34: 67
Thread-33: 68
Thread-32: 69
Thread-31: 70
Thread-30: 71
Thread-29: 72
Thread-28: 73
Thread-27: 74
Thread-26: 75
Thread-25: 76
Thread-24: 77
Thread-23: 78
Thread-22: 79
Thread-21: 80
Thread-20: 81
Thread-19: 82
Thread-18: 83
Thread-17: 84
Thread-16: 85
Thread-15: 86
Thread-14: 87
Thread-13: 88
Thread-12: 89
Thread-11: 90
Thread-10: 91
Thread-9: 92
Thread-8: 93
Thread-7: 94
Thread-6: 95
Thread-5: 96
Thread-4: 97
Thread-3: 98
Thread-2: 99
Thread-1: 100

BLOCK SYNCHRONIZATION:
Thread-0: 1
Thread-4: 2
Thread-60: 3
Thread-8: 4
Thread-93: 5
Thread-69: 6
Thread-98: 7
Thread-63: 8
Thread-95: 9
Thread-99: 10
Thread-80: 11
Thread-65: 12
Thread-94: 13
Thread-64: 14
Thread-62: 15
Thread-74: 16
Thread-68: 17
Thread-75: 18
Thread-2: 19
Thread-86: 20
Thread-87: 21
Thread-81: 22
Thread-3: 23
Thread-70: 24
Thread-92: 25
Thread-77: 26
Thread-76: 27
Thread-71: 28
Thread-96: 29
Thread-97: 30
Thread-9: 31
Thread-83: 32
Thread-82: 33
Thread-73: 34
Thread-15: 35
Thread-66: 36
Thread-14: 37
Thread-10: 38
Thread-67: 39
Thread-89: 40
Thread-20: 41
Thread-88: 42
Thread-72: 43
Thread-5: 44
Thread-78: 45
Thread-79: 46
Thread-91: 47
Thread-84: 48
Thread-85: 49
Thread-27: 50
Thread-21: 51
Thread-11: 52
Thread-26: 53
Thread-16: 54
Thread-22: 55
Thread-17: 56
Thread-90: 57
Thread-30: 58
Thread-1: 59
Thread-7: 60
Thread-12: 61
Thread-6: 62
Thread-24: 63
Thread-19: 64
Thread-18: 65
Thread-38: 66
Thread-25: 67
Thread-32: 68
Thread-23: 69
Thread-13: 70
Thread-28: 71
Thread-35: 72
Thread-58: 73
Thread-33: 74
Thread-31: 75
Thread-34: 76
Thread-44: 77
Thread-57: 78
Thread-56: 79
Thread-29: 80
Thread-40: 81
Thread-36: 82
Thread-37: 83
Thread-39: 84
Thread-55: 85
Thread-43: 86
Thread-41: 87
Thread-54: 88
Thread-46: 89
Thread-45: 90
Thread-47: 91
Thread-48: 92
Thread-42: 93
Thread-50: 94
Thread-59: 95
Thread-49: 96
Thread-53: 97
Thread-61: 98
Thread-51: 99
Thread-52: 100

Explanation:
The different synchronization types result in different behaviors for the threads performing their tasks. When no synchronization is used, there are multiple issues that show up. You can run into issues with data consistency when another thread modifies the shared data before the first can see the changes, so each thread no longer has an accurate count of how many tasks have been completed. 
You can also run into data issues when multiple threads try and access/write to the same shared data simultaneously, which could ruin data integrity or even cause the data to become damaged unexpectedly, leading to data loss. For method synchronization, this locks out the entire method so that only one thread can access it at a time. 
This is good for data integrity since it means that there will only ever be one thread executing the method in question, however, it ultimately defeats a lot of the performance improvements that come from multithreading since you are effectively just creating a queue that is waiting to take turns with their task. This makes the process synchronous, and can be seen by how the threads largely operate in order at almost the same pace as if it were a single thread performing the operation. 
Block synchronization is great when only part of the code inside the method needs to be protected. For the code in this project, it means that the threads can wait their 100ms asynchronously, improving performance. This is seen in the console output where, despite the threads not performing their tasks in order, data integrity is still maintained and processed in the correct oreder.
